timestamp,datetime,memory_percent,memory_available_gb,memory_used_gb,cpu_percent,disk_usage_percent,process_memory_mb,process_cpu_percent,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
1753665485.7461128,2025-07-27T20:18:05.746113,2.3,183.30853271484375,2.8459205627441406,0.0,62.7,1895.2578125,0.2,3501,263025,21,4329
1753665515.882785,2025-07-27T20:18:35.882785,2.3,183.30847549438477,2.845977783203125,0.2,62.7,1895.2578125,0.1,5218,244689,22,4044
1753665546.0198724,2025-07-27T20:19:06.019872,2.3,183.3084945678711,2.845958709716797,0.0,62.7,1895.2578125,0.2,1298,240902,14,4015
1753665576.1500902,2025-07-27T20:19:36.150090,2.3,183.30850219726562,2.8459510803222656,0.0,62.7,1895.2578125,0.2,634,238069,3,3931
1753665606.2868109,2025-07-27T20:20:06.286811,2.3,183.3085060119629,2.845947265625,0.0,62.7,1895.2578125,0.2,1010,250676,9,4158
1753665636.423977,2025-07-27T20:20:36.423977,2.3,183.3085060119629,2.845947265625,0.0,62.7,1895.2578125,0.2,1033,253689,9,4218
1753665666.5607276,2025-07-27T20:21:06.560728,2.3,183.30848693847656,2.845966339111328,0.0,62.7,1895.2578125,0.2,1172,229698,11,3812
1753665696.6977813,2025-07-27T20:21:36.697781,2.3,183.30849075317383,2.8459625244140625,0.0,62.7,1895.2578125,0.1,1256,248285,7,4099
1753665726.8349838,2025-07-27T20:22:06.834984,2.3,183.30712890625,2.8473052978515625,0.0,62.7,1895.2578125,0.2,13515,251236,71,4030
1753665756.9720292,2025-07-27T20:22:36.972029,2.3,183.3072052001953,2.847248077392578,0.0,62.7,1895.2578125,0.2,1005,232757,7,3874
1753665787.1087406,2025-07-27T20:23:07.108741,2.3,183.30726623535156,2.847187042236328,0.0,62.7,1895.2578125,0.2,848,231522,6,3858
1753665817.2456152,2025-07-27T20:23:37.245615,2.3,183.3073272705078,2.847126007080078,0.0,62.7,1895.2578125,0.2,1024,246875,9,4076
1753665847.3824286,2025-07-27T20:24:07.382429,2.3,183.30746841430664,2.84698486328125,0.0,62.7,1895.2578125,0.2,1413,257677,11,4289
1753665877.5191457,2025-07-27T20:24:37.519146,2.3,183.30758666992188,2.8468666076660156,0.0,62.7,1895.2578125,0.2,608,229719,2,3819
1753665907.6423404,2025-07-27T20:25:07.642340,2.3,183.30767822265625,2.8467750549316406,0.0,62.7,1895.2578125,0.2,1324,234324,16,3892
1753665937.778911,2025-07-27T20:25:37.778911,2.3,183.30770874023438,2.8467445373535156,0.0,62.7,1895.2578125,0.2,902,231267,7,3830
1753665967.915401,2025-07-27T20:26:07.915401,2.3,183.30774307250977,2.846710205078125,0.0,62.7,1895.2578125,0.2,1094,222248,11,3703
1753665998.0526824,2025-07-27T20:26:38.052682,2.3,183.30796813964844,2.846485137939453,0.0,62.7,1895.2578125,0.2,3681,223879,22,3686
1753666028.1900573,2025-07-27T20:27:08.190057,2.3,183.3079948425293,2.8464508056640625,0.0,62.7,1895.2578125,0.2,878,230671,6,3805
1753666058.3272855,2025-07-27T20:27:38.327286,2.3,183.3080177307129,2.846435546875,0.0,62.7,1895.2578125,0.2,1431,212182,11,3534
1753666088.4642673,2025-07-27T20:28:08.464267,2.3,183.30817413330078,2.8462791442871094,0.0,62.7,1895.2578125,0.2,3605,230481,24,3810
1753666118.601378,2025-07-27T20:28:38.601378,2.3,183.30818557739258,2.8462677001953125,0.0,62.7,1895.2578125,0.2,926,222582,7,3709
1753666148.7381005,2025-07-27T20:29:08.738101,2.3,183.30818939208984,2.846263885498047,0.0,62.7,1895.2578125,0.2,716,231973,4,3828
1753666178.8753474,2025-07-27T20:29:38.875347,2.3,183.30825805664062,2.8461952209472656,0.0,62.7,1895.2578125,0.2,3165,227333,16,3764
1753666209.0126739,2025-07-27T20:30:09.012674,2.3,183.30831146240234,2.8461341857910156,0.2,62.7,1895.2578125,0.2,1028,232753,9,3873
1753666239.14975,2025-07-27T20:30:39.149750,2.3,183.30828475952148,2.8461570739746094,0.2,62.7,1895.2578125,0.2,3453,244844,20,4051
1753666269.2866385,2025-07-27T20:31:09.286638,2.3,183.30835723876953,2.8460960388183594,0.0,62.7,1895.2578125,0.2,1054,233991,11,3868
1753666299.4238122,2025-07-27T20:31:39.423812,2.3,183.30841445922852,2.846038818359375,0.0,62.7,1895.2578125,0.2,686,250834,3,4175
1753666329.5607085,2025-07-27T20:32:09.560709,2.3,183.30811309814453,2.8463401794433594,0.2,62.7,1895.2578125,0.2,758,232727,5,3874
1753666359.6978931,2025-07-27T20:32:39.697893,2.3,183.3081398010254,2.8463134765625,0.5,62.7,1895.2578125,0.2,939,225928,6,3746
